LATITUDE,LONGITUDE,YEAR,JJAS_SUM
8.5,77.0,1901,726.5130280852318
8.5,77.0,1902,741.5285753533244
8.5,77.0,1903,760.1641067564487
8.5,77.0,1904,1111.2644154578447
8.5,77.0,1905,697.0199040174484
8.5,77.0,1906,718.8088911920786
8.5,77.0,1907,1101.1302516758442
8.5,77.0,1908,710.1056708544493
8.5,77.0,1909,410.69603092968464
8.5,77.0,1910,663.7283636927605
8.5,77.0,1911,599.753310367465
8.5,77.0,1912,1026.8924703150988
8.5,77.0,1913,674.4449638575315
8.5,77.0,1914,761.9531038999557
8.5,77.0,1915,1145.0310890972614
8.5,77.0,1916,599.0531722605228
8.5,77.0,1917,696.7052924484015
8.5,77.0,1918,280.5153841301799
8.5,77.0,1919,889.7023284286261
8.5,77.0,1920,1149.5494737029076
8.5,77.0,1921,563.0631985813379
8.5,77.0,1922,683.6130385398865
8.5,77.0,1923,1226.2521735429764
8.5,77.0,1924,1646.6070501953363
8.5,77.0,1925,567.3454796746373
8.5,77.0,1926,887.7753664702177
8.5,77.0,1927,816.8236066102982
8.5,77.0,1928,487.65278911590576
8.5,77.0,1929,866.1935216411948
8.5,77.0,1930,614.7111682146788
8.5,77.0,1931,788.2135339528322
8.5,77.0,1932,712.204436764121
8.5,77.0,1933,1252.3445720300078
8.5,77.0,1934,473.50400298833847
8.5,77.0,1935,528.8884904235601
8.5,77.0,1936,772.5353802442551
8.5,77.0,1937,380.47682224214077
8.5,77.0,1938,518.9600451588631
8.5,77.0,1939,676.0576185137033
8.5,77.0,1940,740.5238856673241
8.5,77.0,1941,903.7441502958536
8.5,77.0,1942,552.1895269155502
8.5,77.0,1943,750.5378425121307
8.5,77.0,1944,633.6771104037762
8.5,77.0,1945,559.7542401775718
8.5,77.0,1946,638.8199249207973
8.5,77.0,1947,812.9716957062483
8.5,77.0,1948,678.6157817915082
8.5,77.0,1949,733.7210466861725
8.5,77.0,1950,765.580595523119
8.5,77.0,1951,825.5048826932907
8.5,77.0,1952,219.03321055322886
8.5,77.0,1953,876.2648782432079
8.5,77.0,1954,459.6619429886341
8.5,77.0,1955,656.632581859827
8.5,77.0,1956,456.93696841597557
8.5,77.0,1957,700.5889551341534
8.5,77.0,1958,752.1619995757937
8.5,77.0,1959,976.0038737356663
8.5,77.0,1960,751.3742827177048
8.5,77.0,1961,1414.1482132077217
8.5,77.0,1962,871.7553750872612
8.5,77.0,1963,740.5373467206955
8.5,77.0,1964,608.9853174760938
8.5,77.0,1965,496.25571113824844
8.5,77.0,1966,603.6441968530416
8.5,77.0,1967,642.8906307518482
8.5,77.0,1968,910.8937937915325
8.5,77.0,1969,488.1884829849005
8.5,77.0,1970,340.36043302714825
8.5,77.0,1971,978.7910400927067
8.5,77.0,1972,585.5524489581585
8.5,77.0,1973,508.1712428331375
8.5,77.0,1974,915.8521953225136
8.5,77.0,1975,740.4652627706528
8.5,77.0,1976,320.25082355737686
8.5,77.0,1977,517.7959175407887
8.5,77.0,1978,466.09848469495773
8.5,77.0,1979,908.4739452302456
8.5,77.0,1980,636.752722620964
8.5,77.0,1981,1129.6130741387606
8.5,77.0,1982,631.48413233459
8.5,77.0,1983,512.5015088170767
8.5,77.0,1984,548.2646075189114
8.5,77.0,1985,540.5220164954662
8.5,77.0,1986,415.79722172021866
8.5,77.0,1987,511.5782603919506
8.5,77.0,1988,822.5190593749285
8.5,77.0,1989,944.9440216124058
8.5,77.0,1990,354.29875192046165
8.5,77.0,1991,1111.023749411106
8.5,77.0,1992,787.0927978605032
8.5,77.0,1993,559.7997830063105
8.5,77.0,1994,693.3968681693077
8.5,77.0,1995,543.8916990458965
8.5,77.0,1996,573.6400571465492
8.5,77.0,1997,801.0269336476922
8.5,77.0,1998,680.4994921088219
8.5,77.0,1999,524.6593516170979
8.5,77.0,2000,589.1565266549587
8.5,77.0,2001,562.375418767333
8.5,77.0,2002,161.17171486467123
8.5,77.0,2003,205.28121635317802
8.5,77.0,2004,730.5905382633209
8.5,77.0,2005,687.671868801117
8.5,77.0,2006,910.1603867411613
8.5,77.0,2007,925.7333497107029
8.5,77.0,2008,792.3996992409229
8.5,77.0,2009,557.1319824755192
8.5,77.0,2010,637.2364223450422
8.5,77.0,2011,636.1601722761989
8.5,77.0,2012,588.9735140949488
8.5,77.0,2013,834.8208865374327
8.5,77.0,2014,758.603348530829
8.5,77.0,2015,774.6610355898738
8.5,77.0,2016,471.1575213074684
8.5,77.0,2017,578.3694777041674
8.5,77.0,2018,916.4834594130516
8.5,77.0,2019,921.6348825618625
8.5,77.0,2020,735.0801160857081
8.5,77.0,2021,498.5306157171726
8.5,77.0,2022,537.2254900187254
8.5,77.0,2023,534.569935105741
8.5,77.25,1901,178.9553216844797
8.5,77.25,1902,147.19667629897594
8.5,77.25,1903,179.76549911499023
8.5,77.25,1904,246.1960617005825
8.5,77.25,1905,122.32800361514091
8.5,77.25,1906,180.670588940382
8.5,77.25,1907,197.64860586822033
8.5,77.25,1908,111.07733318209648
8.5,77.25,1909,128.71219688653946
8.5,77.25,1910,170.44288294017315
8.5,77.25,1911,121.8964261263609
8.5,77.25,1912,154.5272864997387
8.5,77.25,1913,110.792331635952
8.5,77.25,1914,181.69053557515144
8.5,77.25,1915,223.32234154641628
8.5,77.25,1916,892.4172939658165
8.5,77.25,1917,749.9031150490046
8.5,77.25,1918,299.2414668351412
8.5,77.25,1919,1126.8214316666126
8.5,77.25,1920,1098.3683536797762
8.5,77.25,1921,607.7982876896858
8.5,77.25,1922,644.8772518783808
8.5,77.25,1923,1377.9770323634148
8.5,77.25,1924,1597.9464587569237
8.5,77.25,1925,588.4989162534475
8.5,77.25,1926,1052.2333284467459
8.5,77.25,1927,826.9859579205513
8.5,77.25,1928,524.3129143044353
8.5,77.25,1929,1054.4109635055065
8.5,77.25,1930,726.5228324830532
8.5,77.25,1931,896.931404620409
8.5,77.25,1932,657.1709405779839
8.5,77.25,1933,1272.6825360953808
8.5,77.25,1934,454.9601463377476
8.5,77.25,1935,482.7087155431509
8.5,77.25,1936,670.6832296550274
8.5,77.25,1937,261.6323257237673
8.5,77.25,1938,704.4449433982372
8.5,77.25,1939,693.5250429064035
8.5,77.25,1940,854.3424938470125
8.5,77.25,1941,923.6797249019146
8.5,77.25,1942,523.4366439580917
8.5,77.25,1943,765.5247094035149
8.5,77.25,1944,588.1744932234287
8.5,77.25,1945,622.9819626808167
8.5,77.25,1946,581.5399958640337
8.5,77.25,1947,746.8493817001581
8.5,77.25,1948,832.5829044133425
8.5,77.25,1949,567.0049564838409
8.5,77.25,1950,767.047994658351
8.5,77.25,1951,866.7979949861765
8.5,77.25,1952,297.4267518520355
8.5,77.25,1953,419.7290703058243
8.5,77.25,1954,247.18764248490334
8.5,77.25,1955,282.2404174655676
8.5,77.25,1956,179.71327936649323
8.5,77.25,1957,672.111025094986
8.5,77.25,1958,899.8366382867098
8.5,77.25,1959,1194.2179717570543
8.5,77.25,1960,994.2290045619011
8.5,77.25,1961,1820.6785114109516
8.5,77.25,1962,362.67258808761835
8.5,77.25,1963,1010.5083350539207
8.5,77.25,1964,1139.0401383340359
8.5,77.25,1965,466.442813962698
8.5,77.25,1966,1208.0443883687258
8.5,77.25,1967,911.2274288237095
8.5,77.25,1968,1113.0179846212268
8.5,77.25,1969,813.107035279274
8.5,77.25,1970,651.2706474065781
8.5,77.25,1971,1196.9580022096634
8.5,77.25,1972,872.8481087684631
8.5,77.25,1973,957.2855316475034
8.5,77.25,1974,1036.1740051805973
8.5,77.25,1975,1080.8686951994896
8.5,77.25,1976,582.7957407981157
8.5,77.25,1977,535.1388213634491
8.5,77.25,1978,503.3491343781352
8.5,77.25,1979,541.8584436774254
8.5,77.25,1980,466.5493362545967
8.5,77.25,1981,829.2056510895491
8.5,77.25,1982,438.6800619587302
8.5,77.25,1983,389.6985232681036
8.5,77.25,1984,421.2877398058772
8.5,77.25,1985,576.1666406169534
8.5,77.25,1986,380.6851809620857
8.5,77.25,1987,417.71739734709263
8.5,77.25,1988,683.699968367815
8.5,77.25,1989,754.6171817779541
8.5,77.25,1990,358.76309487223625
8.5,77.25,1991,823.3585387915373
8.5,77.25,1992,718.3649382665753
8.5,77.25,1993,551.0846950113773
8.5,77.25,1994,739.3541301041842
8.5,77.25,1995,425.26897072792053
8.5,77.25,1996,648.5459691807628
8.5,77.25,1997,681.6242158859968
8.5,77.25,1998,682.1049150824547
8.5,77.25,1999,633.2521144449711
8.5,77.25,2000,1070.7812649011612
8.5,77.25,2001,342.4394042044878
8.5,77.25,2002,176.86349549144506
8.5,77.25,2003,270.7086416184902
8.5,77.25,2004,649.5157144069672
8.5,77.25,2005,271.9363543242216
8.5,77.25,2006,92.47398330271244
8.5,77.25,2007,969.8723059892654
8.5,77.25,2008,550.110392421484
8.5,77.25,2009,362.0156264603138
8.5,77.25,2010,441.60108932852745
8.5,77.25,2011,681.2025850117207
8.5,77.25,2012,611.849022179842
8.5,77.25,2013,446.8234750032425
8.5,77.25,2014,388.3310205936432
8.5,77.25,2015,364.23696479201317
8.5,77.25,2016,271.0030764490366
8.5,77.25,2017,366.5133703947067
8.5,77.25,2018,555.4046529531479
8.5,77.25,2019,564.291404530406
8.5,77.25,2020,388.4237728714943
8.5,77.25,2021,284.30422645807266
